2025-12-20 05:28:07.294 [info] 2025/12/20 05:28:07 maxprocs: Leaving GOMAXPROCS=8: CPU quota undefined
2025-12-20 05:28:07.419 [info] I1220 05:28:07.419037  7302 main.go:183] Setting GOMAXPROCS to 4
2025-12-20 05:28:07.424 [info] I1220 05:28:07.422223  7302 main.go:294] Starting language server process with pid 7302
2025-12-20 05:28:07.424 [info] I1220 05:28:07.422347  7302 server.go:228] Language server will attempt to listen on host 127.0.0.1
2025-12-20 05:28:07.424 [info] I1220 05:28:07.422838  7302 server.go:235] Language server listening on random port at 37901 for HTTPS
2025-12-20 05:28:07.424 [info] I1220 05:28:07.422966  7302 server.go:242] Language server listening on random port at 37541 for HTTP
2025-12-20 05:28:08.095 [info] I1220 05:28:08.095355  7302 server.go:326] Created extension server client at port 38929
2025-12-20 05:28:08.103 [info] W1220 05:28:08.103158  7302 log_context.go:106] Cache(userInfo): Singleflight refresh failed: You are not logged into Antigravity.
2025-12-20 05:28:08.140 [info] I1220 05:28:08.138583  7302 server.go:343] initialized server successfully
2025-12-20 05:28:08.147 [info] W1220 05:28:08.144549  7302 log_context.go:106] Cache(userInfo): Singleflight refresh failed: You are not logged into Antigravity.
2025-12-20 05:28:08.206 [info] (Antigravity) 2025-12-20 05:28:08.202 [INFO]: Language server started
2025-12-20 05:28:08.735 [info] 2025/12/20 05:28:08 http: TLS handshake error from 127.0.0.1:47468: EOF
2025-12-20 05:28:08.936 [info] (Antigravity) 2025-12-20 05:28:08.936 [INFO]: LS lspClient started successfully
2025-12-20 05:28:34.962 [info] I1220 05:28:34.961852  7302 planner_generator.go:272] Requesting planner with 2 chat messages at model retry attempt 1 and API retry attempt 1
2025-12-20 05:28:38.640 [info] I1220 05:28:38.639954  7302 http_helpers.go:125] URL: https://daily-cloudcode-pa.sandbox.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xb47a341bdab3bf5d
2025-12-20 05:28:40.666 [info] E1220 05:28:40.662951  7302 log.go:362] path is not in a workspace which you have access to: either proceed without accessing that path, or ask the user if they are willing to turn off workspace validation
2025-12-20 05:28:40.704 [info] I1220 05:28:40.696602  7302 planner_generator.go:272] Requesting planner with 4 chat messages at model retry attempt 2 and API retry attempt 1
2025-12-20 05:28:51.309 [info] I1220 05:28:51.308738  7302 http_helpers.go:125] URL: https://daily-cloudcode-pa.sandbox.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x31b6e0f67ad30a4f
2025-12-20 05:28:52.362 [info] I1220 05:28:52.361506  7302 planner_generator.go:272] Requesting planner with 6 chat messages at model retry attempt 1 and API retry attempt 1
2025-12-20 05:29:02.838 [info] I1220 05:29:02.838401  7302 http_helpers.go:125] URL: https://daily-cloudcode-pa.sandbox.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x315b455976904fb5
2025-12-20 05:29:05.145 [info] I1220 05:29:05.139031  7302 http_helpers.go:125] URL: https://daily-cloudcode-pa.sandbox.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x420e155b02bb0a90
2025-12-20 05:29:31.184 [info] I1220 05:29:31.184052  7302 planner_generator.go:272] Requesting planner with 8 chat messages at model retry attempt 1 and API retry attempt 1
2025-12-20 05:29:41.552 [info] I1220 05:29:41.551955  7302 http_helpers.go:125] URL: https://daily-cloudcode-pa.sandbox.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x21a85fb7c93cb600
2025-12-20 05:31:44.844 [info] I1220 05:31:44.843826  7302 planner_generator.go:272] Requesting planner with 10 chat messages at model retry attempt 1 and API retry attempt 1
2025-12-20 05:31:46.875 [info] I1220 05:31:46.875208  7302 http_helpers.go:125] URL: https://daily-cloudcode-pa.sandbox.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x72ddf4149f8aad3b
2025-12-20 05:31:47.595 [info] I1220 05:31:47.594766  7302 planner_generator.go:272] Requesting planner with 12 chat messages at model retry attempt 1 and API retry attempt 1
